2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3087.6ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3087.7ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3087.9ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3088ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3088.1ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3088.2ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3088.3ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3088.5ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3088.6ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3088.7ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3088.8ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3089ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3089.1ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3089.2ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3089.3ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3089.5ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3089.5ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3089.7ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3089.8ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3089.9ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3090ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3090.2ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3090.3ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3090.4ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3090.5ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3090.8ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3090.9ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3091.1ms,
